week,coef,se
-12,0.0768036086286961,0.034851992796305985
-11,0.20162485054598198,0.046326723071631846
-10,0.18453673218305552,0.011756430760493444
-9,0.13839964775431826,0.01619128779687803
-8,0.07606028853300796,0.012297159338659611
-7,0.09437205017948776,0.019245283906417766
-6,0.18278617822740856,0.01683023817700761
-5,0.18109550566219285,0.015147251216756707
-4,0.12744360485118433,0.021229980429217383
-3,0.004270606178833593,0.024176942418399707
-2,-0.033517692154595005,0.019043019637927604
0,-0.5163135141249379,0.11001630487455807
1,-0.9200884167055992,0.010346561012409501
2,-0.9779016970160272,0.011159125633924646
3,-0.9314994932012303,0.017004225966604808
4,-0.9781622682866556,0.010222095444822462
5,-0.9941945069224016,0.01799519596401233
6,-1.0530502898917795,0.019228616635653308
7,-1.0936517632657792,0.016160247625611496
8,-1.064599822965999,0.016047295735871447
